benchmark,CARE,LFU,LRU,Rand,SRRIP
blackscholes_8c_simlarge,3181645646,3181472365,3181471280,3181776461,3181501818
bodytrack_8c_simlarge,3037305293,3030733798,3031656259,3040560342,3033424589
bzip2,127376180,114658248,117867688,127072208,115047445
cactusADM,133074183,94099173,94370173,94280277,93339266
calculix,50470804,50519436,50519436,50585443,50449994
canneal_8c_simlarge,6223152598,5818511267,5972532085,6115539107,5823333294
fluidanimate_8c_simlarge,4068888893,3747120254,3758372601,3773808311,3752229145
gcc,271080501,141323632,140207146,145144083,134322506
hmmer,72191042,67836221,69040250,68666839,69408957
lbm,240621633,173926753,173926753,173388770,174208940
leslie3d,236585110,217226900,217213904,220195892,217760545
libquantum,192775586,195518803,195518803,197331212,195673910
mcf,797982751,774256993,799605252,802632830,771596804
milc,215352310,152495164,152494549,152372095,152611853
namd,55445803,55404525,55402810,55678517,53727470
sjeng,86617938,86506521,86507231,86806281,86617773
soplex,333857162,266374995,270172288,280710679,269010818
streamcluster_8c_simlarge,4298999881,5684872265,7963235498,4457614235,4572492414
swaptions_8c_simlarge,3213924341,3213891433,3213911106,3214005379,3214016499
x264_8c_simlarge,3768499148,3085560877,3064966898,3193783968,3061270147
xalan,109240955,70679703,71278475,74592333,66572308
