benchmark,CARE,LFU,LRU,Rand,SRRIP
blackscholes_8c_simlarge,29451,29449,29449,32128,29449
bodytrack_8c_simlarge,178409,212436,226208,210555,145570
bzip2,557280,272472,300847,419238,263193
cactusADM,853935,477162,480614,476854,471069
calculix,5889,5890,5890,6284,5902
canneal_8c_simlarge,23784138,20406837,22793618,24491478,20526856
fluidanimate_8c_simlarge,6356166,4388735,4490908,4464648,4403371
gcc,2483640,336163,328694,364558,294219
hmmer,158345,131673,144369,135994,158782
lbm,5057727,3096206,3096206,3129347,3098397
leslie3d,2692019,2381433,2381741,2396755,2387649
libquantum,2419738,2504668,2504668,2505170,2505113
mcf,8559814,7720561,8090429,8355545,7677399
milc,2157008,1494367,1494367,1495045,1495192
namd,37532,37163,37164,38921,26917
sjeng,37064,36195,36204,38531,36903
soplex,3102259,2176412,2239442,2349391,2123153
streamcluster_8c_simlarge,7594338,18484041,39090488,8507303,9679153
swaptions_8c_simlarge,11211,11220,11220,11584,11218
x264_8c_simlarge,13880819,3936723,3430806,4654032,3302439
xalan,605494,200147,209034,226701,153299
